Year Month,Postal Code,Customer Class,Total Gallons
201606,78701,City of Austin,11209200
201303,78717,City of Austin,0
201705,78728,Wholesale,34590400
201412,78723,Irrigation - City of Austin,91900
201706,78724,Irrigation - City of Austin,0
201303,78736,Irrigation - Commercial,227400
201412,78722,Irrigation - City of Austin,0
201408,78613,Commercial,4710700
201701,78724,Irrigation - City of Austin,0
201304,78754,Austin Water Utility,564700
201206,78730,Irrigation - Commercial,4261700
201210,78728,Commercial,3332100
201408,78748,Wholesale,675400
201504,78724,Irrigation - City of Austin,0
201411,78701,Irrigation - Commercial,3284200
201311,78719,Austin Water Utility,0
201307,78725,Irrigation - Commercial,477900
201202,78717,Irrigation - City of Austin,0
201304,78747,Austin Water Utility,659400
201303,78725,Wholesale,886700
201608,78724,City of Austin,9463200
201507,78613,Irrigation - Commercial,1178700
201410,78754,Large Volume,115874500
201305,78703,Austin Water Utility,13100
201312,78725,Wholesale,958500
201709,78617,Austin Water Utility,551200
201612,78705,Irrigation - City of Austin,4800
201412,78756,Irrigation - City of Austin,0
201612,78725,Large Volume,31640000
201503,78719,Irrigation - Commercial,337300
201507,78721,Irrigation - City of Austin,13500
201201,78725,City of Austin,25100
201705,78712,Irrigation - Large Volume,15661000
201603,78703,Austin Water Utility,13300
201303,78702,Austin Water Utility,63000
201203,78725,Wholesale,933000
201407,78749,Irrigation - City of Austin,2000
201312,78724,City of Austin,4262200
201609,78617,Irrigation - Commercial,1120300
201209,78725,Large Volume,33840000
201608,78753,Irrigation - City of Austin,482500
201405,78704,City of Austin,1054900
201212,78744,Austin Water Utility,636200
201410,78704,Irrigation - Commercial,5523700
201304,78751,Irrigation - City of Austin,953700
201503,78729,City of Austin,9900
201202,78702,Irrigation - Commercial,1305100
201512,78617,Austin Water Utility,147200
201605,78749,Irrigation - City of Austin,700
201611,78735,Large Volume,23144000
201704,78726,Austin Water Utility,0
201405,78741,Austin Water Utility,0
201509,78721,Irrigation - City of Austin,14500
201610,78729,Irrigation - City of Austin,0
201207,78724,City of Austin,6138100
201503,78725,Wholesale,808300
201612,78702,Irrigation - City of Austin,256800
201509,78717,Commercial,7680200
201312,78735,Large Volume,22185000
201404,78725,Irrigation - Commercial,75700
201407,78754,Irrigation - City of Austin,111100
201512,78735,Wholesale,336800
201211,78756,Irrigation - City of Austin,0
201705,78702,Austin Water Utility,180000
201302,78741,City of Austin,415500
201306,78746,Commercial,15235000
201307,78712,Irrigation - Large Volume,20969000
201706,78735,Austin Water Utility,0
201206,78729,Irrigation - City of Austin,0
201608,78701,Austin Water Utility,230000
201512,78724,Irrigation - Commercial,2318000
201308,78702,Austin Water Utility,90900
201210,78701,City of Austin,8073900
201510,78752,Austin Water Utility,100
201311,78724,Irrigation - Commercial,3294000
201611,78750,Irrigation - City of Austin,20700
201506,78726,Austin Water Utility,0
201403,78653,Wholesale,0
201307,78746,Irrigation - Commercial,5592700
201311,78719,City of Austin,2717900
201204,78729,Commercial,10318800
201206,78758,Irrigation - City of Austin,5097900
201308,78613,Irrigation - Commercial,2631500
201306,78728,Commercial,2824700
201508,78744,City of Austin,420400
201506,78744,Irrigation - Commercial,4573700
201212,78735,Austin Water Utility,0
201612,78752,Austin Water Utility,0
201506,78752,Irrigation - City of Austin,0
201703,78754,Large Volume,175939000
201211,78729,Irrigation - City of Austin,0
201604,78704,Irrigation - Commercial,3034200
201211,78701,Irrigation - City of Austin,1025900
201210,78746,Irrigation - City of Austin,1222200
201211,78725,Irrigation - Commercial,409300
201404,78730,Irrigation - Commercial,1944100
201601,78726,Austin Water Utility,0
201603,78754,Large Volume,156352500
201311,78712,Irrigation - Large Volume,15156000
201708,78747,Austin Water Utility,0
201411,78705,City of Austin,206300
201307,78750,Irrigation - Commercial,6962600
201306,78724,City of Austin,7180600
201301,78725,Irrigation - Commercial,118000
201511,78749,Irrigation - City of Austin,301600
201608,78704,Irrigation - City of Austin,594200
201411,78752,Irrigation - City of Austin,0
201602,78728,Irrigation - Commercial,1237000
201401,78729,Irrigation - Commercial,2082200
201608,78727,City of Austin,27900
201506,78728,Commercial,9852800
201501,78741,Irrigation - Commercial,2118400
201412,78613,Commercial,4077800
